name,Landgrant.tf,Public.tf,AAU.tf,entry_term,UGDS,ADM_RATE,C150_4,PCTPELL,n.pell,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CoA.inState,CoA.outState,otherCosts.tot,fte.tot,fte.in.rat,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UGDS_MEN,UGDS_WOMEN
UCLA,False,True,True,2023.0,33040.0,0.0873,0.9266,0.271,8953,13747,44524,20454,1574,17148,5562,15243,53274,84051,39527,59981,1.4878882665308795,0.2511,0.033,0.2321,0.2989,0.0015,0.0016,0.0752,0.0769,0.0298,,,,,,0.3895,0.6105
USoCal,False,False,True,2023.0,20817.0,0.1002,0.9199,0.2166,4508,68237,68237,41896,1200,19198,1818,3690,94143,94143,25906,67802,0.6139777540044258,0.2757,0.0705,0.1827,0.2477,0.0017,0.0024,0.0645,0.1373,0.0176,,,,,,0.4824,0.5176
Illinois,True,True,True,2023.0,34623.0,0.4369,0.8489,0.2381,8243,16004,34501,15702,1200,13938,2500,,33642,52139,17638,33340,0.9811297175706073,0.3873,0.056,0.1388,0.2297,0.0003,0.0003,0.0388,0.1365,0.0124,,,,,,0.5265,0.4735
Northwestern,False,False,True,2023.0,8960.0,0.0715,0.9589,0.187,1675,65997,65997,33879,1686,20334,3273,6234,97524,97524,31527,65406,0.5133415155234329,0.3408,0.0738,0.1506,0.2167,0.001,0.0009,0.0765,0.1031,0.0366,,,,,,0.4547,0.5453
Indiana,False,True,True,2023.0,36571.0,0.8037,0.8117,0.1669,6103,11790,40482,19281,690,13380,3040,4550,33450,62142,21660,40941,1.6353689567430025,0.6663,0.0415,0.0841,0.0994,0.0003,0.0003,0.0553,0.0475,0.0053,,,,,,0.5023,0.4977
Iowa,False,True,True,2023.0,21691.0,0.8467,0.7306,0.1775,3850,10964,32927,15953,950,12616,4066,4332,32928,54891,21964,37917,1.4550346588836192,0.7452,0.0292,0.0915,0.0465,0.0012,0.0006,0.0384,0.0155,0.0318,,,,,,0.4377,0.5623
Maryland,True,True,True,2023.0,30246.0,0.4484,0.8862,0.1859,5622,11505,40306,15411,1250,15416,2714,4258,35143,63944,23638,39049,1.3395045632333769,0.3981,0.129,0.1071,0.2401,0.001,0.0005,0.0489,0.0318,0.0436,,,,,,0.507,0.493
Michigan,False,True,True,2023.0,33488.0,0.1794,0.9322,0.1757,5883,17228,58072,28678,1126,13856,2572,8476,43258,84102,26030,54708,1.6646157418156489,0.4884,0.0454,0.1003,0.1863,0.0014,0.0008,0.0535,0.0792,0.0446,,,,,,0.4692,0.5308
MSU,True,True,True,2023.0,40243.0,0.8392,0.8217,0.2002,8056,15988,43372,19290,1334,11754,3592,3592,36260,63644,20272,39562,1.2065298974230674,0.6716,0.0651,0.0624,0.0798,0.0027,0.0006,0.0436,0.054,0.02,,,,,,0.4865,0.5135
Minnesota,True,True,True,2023.0,30469.0,0.7703,0.8482,0.1687,5140,16488,36402,14750,1000,13028,2350,2350,35216,55130,18728,33478,0.8945900048520136,0.5921,0.0891,0.0599,0.1312,0.0035,0.0004,0.0499,0.0591,0.0148,,,,,,0.4604,0.5396
Nebraska,True,True,False,2023.0,18887.0,0.7707,0.6585,0.2217,4187,10108,27748,9874,1250,13856,3442,3442,32098,49738,21990,31864,0.9768500197863079,0.7608,0.0292,0.0909,0.0403,0.0022,0.0007,0.0367,0.0304,0.0088,,,,,,0.4965,0.5035
Rutgers,True,True,True,2023.0,36357.0,0.6535,0.8501,0.272,9889,17239,36001,15101,1391,14715,4372,11760,49477,68239,32238,47339,0.8759788850861419,0.3145,0.0675,0.1563,0.3343,0.0008,0.0007,0.0361,0.0683,0.0215,,,,,,0.4986,0.5014
Ohio State,True,True,True,2023.0,44617.0,0.5082,0.8773,0.1945,8678,12859,38365,17289,1030,14272,3070,6090,37321,62827,24462,41751,1.34450579360759,0.6189,0.0789,0.057,0.0978,0.0005,0.0004,0.0459,0.0707,0.0298,,,,,,0.4954,0.5046
Oregon,False,True,True,2023.0,19758.0,0.8511,0.7148,0.2198,4342,15669,43302,20288,1320,15840,2892,6672,42393,70026,26724,47012,1.2947858829536028,0.6181,0.0266,0.1576,0.0682,0.0051,0.0038,0.0953,0.0144,0.011,,,,,,0.4387,0.5613
Penn State,True,True,True,2023.0,41862.0,0.5422,0.8568,0.1327,5555,20234,40188,31329,1840,13030,4788,4104,43996,63950,23762,55091,1.548334486507858,0.6295,0.047,0.0916,0.0714,0.0014,0.0007,0.0385,0.0979,0.022,,,,,,0.5275,0.4725
Washington,False,True,True,2023.0,31588.0,0.4253,0.837,0.1546,4883,12643,41997,21753,900,17982,3027,3297,37849,67203,25206,46959,1.7205568298663292,0.3389,0.0393,0.0974,0.2725,0.0029,0.0031,0.0793,0.127,0.0396,,,,,,0.4323,0.5677
Wisconsin,True,True,True,2023.0,35665.0,0.4335,0.8933,0.1532,5463,11205,40603,18815,1100,13500,3100,3800,32705,62103,21500,40315,1.679161088799643,0.6035,0.025,0.0831,0.1051,0.0024,0.0006,0.0477,0.1001,0.0324,,,,,,0.4698,0.5302
Purdue,True,True,True,2023.0,39637.0,0.503,0.831,0.1298,5144,9992,28794,18481,1030,11650,2210,4140,29022,47824,19030,37511,1.8495796637309847,0.591,0.0259,0.0731,0.1396,0.0009,0.0004,0.0517,0.1015,0.016,,,,,,0.5754,0.4246
